2026-07-15 18:02:00 | job 5226906 | STARTING | age=18s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:02:45 | job 5226906 | STARTING | age=63s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:03:30 | job 5226906 | STARTING | age=108s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 20:13:21 | job 5226906 | OK | age=340s | last=[  mean_dice: 0.572  cancer_dice: 0.602 Epoch 006/100 | train_loss=0.2762 | val_loss=0.2755 | lr=9.98e-05 | frozen=False | validated=1 | 1336s   mean_dice: 0.590  cancer_dice: 0.630 ] fail=[]
2026-07-15 20:16:22 | job 5226906 | OK | age=520s | last=[  mean_dice: 0.572  cancer_dice: 0.602 Epoch 006/100 | train_loss=0.2762 | val_loss=0.2755 | lr=9.98e-05 | frozen=False | validated=1 | 1336s   mean_dice: 0.590  cancer_dice: 0.630 ] fail=[]
2026-07-15 20:19:22 | job 5226906 | OK | age=700s | last=[  mean_dice: 0.572  cancer_dice: 0.602 Epoch 006/100 | train_loss=0.2762 | val_loss=0.2755 | lr=9.98e-05 | frozen=False | validated=1 | 1336s   mean_dice: 0.590  cancer_dice: 0.630 ] fail=[]
2026-07-15 20:22:22 | job 5226906 | OK | age=880s | last=[  mean_dice: 0.572  cancer_dice: 0.602 Epoch 006/100 | train_loss=0.2762 | val_loss=0.2755 | lr=9.98e-05 | frozen=False | validated=1 | 1336s   mean_dice: 0.590  cancer_dice: 0.630 ] fail=[]
2026-07-15 20:25:22 | job 5226906 | OK | age=1060s | last=[  mean_dice: 0.572  cancer_dice: 0.602 Epoch 006/100 | train_loss=0.2762 | val_loss=0.2755 | lr=9.98e-05 | frozen=False | validated=1 | 1336s   mean_dice: 0.590  cancer_dice: 0.630 ] fail=[]
2026-07-15 20:28:22 | job 5226906 | OK | age=1240s | last=[  mean_dice: 0.572  cancer_dice: 0.602 Epoch 006/100 | train_loss=0.2762 | val_loss=0.2755 | lr=9.98e-05 | frozen=False | validated=1 | 1336s   mean_dice: 0.590  cancer_dice: 0.630 ] fail=[]
2026-07-15 20:31:22 | job 5226906 | OK | age=24s | last=[  mean_dice: 0.590  cancer_dice: 0.630 Epoch 007/100 | train_loss=0.2745 | val_loss=0.2821 | lr=9.96e-05 | frozen=False | validated=1 | 1332s   mean_dice: 0.581  cancer_dice: 0.615 ] fail=[]
2026-07-15 20:34:22 | job 5226906 | OK | age=204s | last=[  mean_dice: 0.590  cancer_dice: 0.630 Epoch 007/100 | train_loss=0.2745 | val_loss=0.2821 | lr=9.96e-05 | frozen=False | validated=1 | 1332s   mean_dice: 0.581  cancer_dice: 0.615 ] fail=[]
2026-07-15 20:37:22 | job 5226906 | OK | age=384s | last=[  mean_dice: 0.590  cancer_dice: 0.630 Epoch 007/100 | train_loss=0.2745 | val_loss=0.2821 | lr=9.96e-05 | frozen=False | validated=1 | 1332s   mean_dice: 0.581  cancer_dice: 0.615 ] fail=[]
2026-07-15 20:40:22 | job 5226906 | OK | age=564s | last=[  mean_dice: 0.590  cancer_dice: 0.630 Epoch 007/100 | train_loss=0.2745 | val_loss=0.2821 | lr=9.96e-05 | frozen=False | validated=1 | 1332s   mean_dice: 0.581  cancer_dice: 0.615 ] fail=[]
